epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.17485,1.64172,4.49479,1.64226,0,0,0,0,1.46987,4.09631,1.82004,2.415e-05,2.415e-05,2.415e-05
2,6.55382,1.53858,4.39349,1.6086,0,0,0,0,1.48272,4.09061,1.81296,5.07253e-05,5.07253e-05,5.07253e-05
3,8.63068,1.44164,4.25225,1.53763,0,0,0,0,1.44476,4.08448,1.78604,7.62077e-05,7.62077e-05,7.62077e-05
4,12.4247,1.41889,4.08987,1.5106,0,0,0,0,1.45351,4.03478,1.74259,0.000100597,0.000100597,0.000100597
5,14.5231,1.41968,3.85199,1.48732,0.12434,0.10648,0.1249,0.09219,1.43864,3.89775,1.73827,0.000123894,0.000123894,0.000123894
6,16.6381,1.52421,3.59322,1.53773,0.04929,0.21759,0.20248,0.11063,1.44064,3.60645,1.71411,0.000146097,0.000146097,0.000146097
7,18.6426,1.46953,3.301,1.52484,0.03626,0.25,0.20505,0.11748,1.50598,3.52369,1.75758,0.000167208,0.000167208,0.000167208
8,20.7416,1.42767,3.2628,1.4628,0.88889,0.06556,0.20517,0.14738,1.63007,3.43758,1.81704,0.000187225,0.000187225,0.000187225
9,23.2598,1.47732,3.07369,1.52378,0.83714,0.11332,0.1987,0.13603,1.6271,3.21322,1.80228,0.00020615,0.00020615,0.00020615
10,25.9206,1.3793,2.99999,1.46477,0.80439,0.12963,0.1945,0.12755,1.64843,3.15273,1.83661,0.000223982,0.000223982,0.000223982
11,28.1449,1.47929,2.79302,1.47679,0.86229,0.14352,0.21866,0.12182,1.56771,3.0416,1.82964,0.00024072,0.00024072,0.00024072
12,30.237,1.45673,2.65962,1.47742,0.80612,0.21759,0.2188,0.12279,1.58912,3.07001,1.83515,0.000256366,0.000256366,0.000256366
13,32.3231,1.4805,2.63812,1.50182,0.69611,0.23981,0.24753,0.14119,1.61504,2.81472,1.84843,0.000263028,0.000263028,0.000263028
14,34.3827,1.44617,2.48879,1.47812,0.66072,0.26204,0.27527,0.1539,1.61199,2.51669,1.86624,0.000256197,0.000256197,0.000256197
15,37.01,1.42303,2.37635,1.45963,0.53595,0.28981,0.3041,0.18332,1.57135,2.43818,1.85465,0.000249366,0.000249366,0.000249366
16,39.556,1.38134,2.24786,1.40847,0.67382,0.30487,0.36156,0.20077,1.57167,2.48145,1.83041,0.000242535,0.000242535,0.000242535
17,41.6722,1.40741,2.24772,1.4532,0.69945,0.23148,0.35419,0.19299,1.5398,2.51521,1.80764,0.000235704,0.000235704,0.000235704
18,43.7217,1.3783,2.09674,1.44062,0.59071,0.25617,0.34916,0.21282,1.5424,2.47374,1.83402,0.000228873,0.000228873,0.000228873
19,45.8554,1.36181,2.17336,1.45161,0.68382,0.31481,0.36098,0.21528,1.56055,2.25326,1.83071,0.000222042,0.000222042,0.000222042
20,47.9758,1.34522,2.01952,1.43212,0.71008,0.33404,0.34988,0.21288,1.58644,2.16153,1.82943,0.000215211,0.000215211,0.000215211
21,50.9759,1.32357,1.94303,1.39529,0.72469,0.35015,0.38415,0.21997,1.60251,2.16049,1.82363,0.00020838,0.00020838,0.00020838
22,53.1922,1.33336,1.98775,1.4204,0.80283,0.28516,0.3873,0.21875,1.61965,2.08154,1.82308,0.000201549,0.000201549,0.000201549
23,55.3298,1.27672,1.94996,1.35786,0.74267,0.29768,0.40181,0.23656,1.60135,2.19688,1.84023,0.000194718,0.000194718,0.000194718
24,57.5092,1.293,1.91765,1.38634,0.66825,0.35815,0.36746,0.21174,1.56611,2.29419,1.8074,0.000187887,0.000187887,0.000187887
25,59.5153,1.26734,1.85543,1.35351,0.72991,0.31227,0.35422,0.21298,1.51541,2.34878,1.78352,0.000181056,0.000181056,0.000181056
26,61.726,1.27922,1.84593,1.38683,0.82713,0.31509,0.36589,0.2157,1.51925,2.35351,1.78074,0.000174225,0.000174225,0.000174225
27,64.7336,1.27791,1.8618,1.38556,0.688,0.27997,0.38113,0.22268,1.52682,2.39388,1.81884,0.000167394,0.000167394,0.000167394
28,67.1077,1.21995,1.79593,1.35424,0.71306,0.31788,0.41366,0.2332,1.54341,2.36215,1.84928,0.000160563,0.000160563,0.000160563
29,69.1941,1.25395,1.83485,1.35942,0.68816,0.37485,0.41907,0.24512,1.50644,2.21859,1.80524,0.000153732,0.000153732,0.000153732
30,71.4518,1.24035,1.78209,1.33868,0.69446,0.35302,0.43041,0.24753,1.49847,2.08267,1.78864,0.000146901,0.000146901,0.000146901
31,73.3191,1.19785,1.77022,1.35299,0.7396,0.35513,0.45097,0.24842,1.50207,2.00843,1.79393,0.00014007,0.00014007,0.00014007
32,76.1869,1.18481,1.78856,1.37088,0.71507,0.37099,0.45486,0.26484,1.50407,1.97398,1.80708,0.000133239,0.000133239,0.000133239
33,78.8526,1.20246,1.67741,1.36429,0.59917,0.37996,0.46197,0.27658,1.45599,1.95308,1.76606,0.000126408,0.000126408,0.000126408
34,81.0095,1.21462,1.68704,1.35262,0.49641,0.38579,0.43817,0.27552,1.52703,1.98878,1.77918,0.000119577,0.000119577,0.000119577
35,83.2017,1.15051,1.64215,1.33603,0.55642,0.4074,0.43586,0.24422,1.5336,1.99175,1.78951,0.000112746,0.000112746,0.000112746
36,85.2895,1.19712,1.70649,1.28344,0.58731,0.3318,0.42798,0.24426,1.51637,2.03843,1.77615,0.000105915,0.000105915,0.000105915
37,87.4742,1.26451,1.73849,1.31907,0.65134,0.29639,0.41991,0.25082,1.47697,2.06525,1.75849,9.9084e-05,9.9084e-05,9.9084e-05
38,90.3706,1.10251,1.60713,1.25976,0.64485,0.31575,0.39432,0.22801,1.46564,2.09184,1.76398,9.2253e-05,9.2253e-05,9.2253e-05
39,92.7543,1.10586,1.53274,1.28189,0.67066,0.29884,0.3915,0.23055,1.46498,2.11011,1.78324,8.5422e-05,8.5422e-05,8.5422e-05
40,94.8759,1.09737,1.63158,1.29905,0.68071,0.29485,0.39124,0.22907,1.48149,2.11462,1.80992,7.8591e-05,7.8591e-05,7.8591e-05
41,98.7755,1.26371,1.90809,1.43733,0.49937,0.36391,0.38681,0.23756,1.4974,2.07034,1.81302,7.176e-05,7.176e-05,7.176e-05
42,101.717,1.23448,1.85419,1.3926,0.6954,0.29686,0.39042,0.23721,1.53868,2.06678,1.82508,6.4929e-05,6.4929e-05,6.4929e-05
43,104.583,1.24107,1.83552,1.39639,0.73648,0.29491,0.39623,0.2367,1.58615,2.0756,1.85119,5.8098e-05,5.8098e-05,5.8098e-05
44,106.683,1.17742,1.77016,1.33734,0.71159,0.27906,0.41896,0.25865,1.59153,2.07324,1.86754,5.1267e-05,5.1267e-05,5.1267e-05
45,108.709,1.19734,1.7604,1.37644,0.70047,0.28041,0.40083,0.23592,1.55958,2.03239,1.84872,4.4436e-05,4.4436e-05,4.4436e-05
46,110.645,1.12583,1.88123,1.33215,0.72538,0.27958,0.40056,0.23574,1.54225,2.01532,1.83987,3.7605e-05,3.7605e-05,3.7605e-05
47,112.713,1.12427,1.71476,1.33867,0.73534,0.28056,0.40059,0.23966,1.51065,1.94182,1.84779,3.0774e-05,3.0774e-05,3.0774e-05
48,115.101,1.14746,1.72104,1.31714,0.46193,0.37622,0.39869,0.23649,1.48086,1.93693,1.81919,2.3943e-05,2.3943e-05,2.3943e-05
49,117.868,1.11162,1.66437,1.29603,0.73958,0.28056,0.39745,0.24289,1.46756,1.91785,1.80295,1.7112e-05,1.7112e-05,1.7112e-05
50,119.89,1.1135,1.68406,1.31982,0.51099,0.36211,0.3968,0.23696,1.46849,1.88836,1.82784,1.0281e-05,1.0281e-05,1.0281e-05
